Station,District,Elevation(masl),Max,Min,Year
Nuwakot,Nuwakot,966,27.4,16.3,2019
Lukla Airport,Solukhumbhu,2786,NA,NA,2019
Chisapani Karnali ,Kailali,201,30.2,19.9,2019
Godavari,,NA,22.9,11.4,2019
Jyamirebari,,1525,22.5,12.4,2019
Lete,Mustang,2617,17,6,2019
Nepalgunj Airport,,NA,31.9,18.6,2019
Okhaldhunga,,1725,22.5,12.6,2019
Baitadi Gothalapani ,Baitadi,1352,30.1,NA,2020
Patan West ,Baitadi,1292,NA,NA,2020
Dadeldhura,Dadeldhura,1879,21.1,NA,2020
Mahendra Nagar,Kanchanpur,197,29.8,NA,2020
Darchula,Darchula,945,NA,NA,2020
Dainsili Sidhhapur ,Baitadi,2083,NA,NA,2020
Darchula New,Darchula,887,28,NA,2020
Patan new,Baitadi,1299,NA,NA,2020
Silgadhi Doti,Doti,1309,NA,NA,2020
Bajura Martadi ,Bajura,1598,23.1,NA,2020
Tikapur,Kailali,149,30.3,NA,2020
Dhangadhi Attariya ,Kailali,184,30.2,NA,2020
Godavari West ,Kailali,280,NA,NA,2020
Mangalsen,Achham,1310,24.9,NA,2020
Dipayal Doti ,Doti,563,29.6,NA,2020
Oli Gaun Patkani ,Achham,989,28.3,NA,2020
Gokuleshwar,Kailali,761,NA,NA,2020
Chainpur Bajhang AWS,,1405,NA,NA,2020
Jumla,Jumla,2363,20.9,NA,2020
Gam Shree Nagar,Mugu,2113,22.4,NA,2020
Rara,Mugu,2989,11.9,NA,2020
Nagma,Kalikot,2017,21.7,NA,2020
Dipal Gaun,Jumla,2422,NA,NA,2020
Simikot,Humla,2993,NA,NA,2020
Dunai,Dolpa,2098,22.3,NA,2020
Manma,kalikot,1729,21.6,NA,2020
Kaigaun,Dolpa,2683,NA,NA,2020
Jumla Airport,Jumla,2384,NA,NA,2020
Pusma Camp,Surkhet,953,24.6,NA,2020
Dailekh,Dailekh,1394,24.7,14,2020
"Surkhet Airport, Birendranagar ",Surkhet,683,28.2,NA,2020
Gulariya,Bardiya,126,29.7,NA,2020
Khajura Nepalganj ,Banke,129,30.2,NA,2020
Nepalgunj Reg Off ,Banke,141,NA,NA,2020
Rani Jaruwa Nursery,Bardiya,145,NA,NA,2020
Sikta,Banke,161,30.3,NA,2020
Mehalkuna,Surkhet,464,30,NA,2020
Libang Gaun,Rolpa,1314,26.1,12,2020
Bijuwar Tar,Pyuthan,835,28.6,16,2020
Tulsipur,Dang,683,26.6,NA,2020
Salyan Bazar,Salyan,1557,24.6,14,2020
Chaurjhari Tar,Rukum,863,NA,NA,2020
Musikot Rukumkot ,Rukum,1412,24.7,NA,2020
Ghorai Dang ,Dang,663,27.8,NA,2020
Jomsom,Mustang,0,17.4,NA,2020
Jomsom Resort,Mustang,2846,20.3,NA,2020
Thakmarpha,Mustang,2655,17,NA,2020
Baglung,Baglung,964,27.3,NA,2020
Bahrabise,Sindhupalchok,,28.2,NA,2020
Kushma,Parbat,900,28,NA,2020
Gurja Khani,Myagdi,2627,21.6,NA,2020
Bhimgithhe,Baglung,1008,NA,NA,2020
Chhoser,Mustang,3886,13.8,NA,2020
Tansen,Palpa,1183,24.8,NA,2020
Bhairahawa Airport,Rupandehi,108,30.5,NA,2020
Dumkauli,Nawalpur,183,31.7,NA,2020
Bhairahawa Agric ,Rupandehi,112,30.7,NA,2020
Parasi,Nawalparasi,112,30.1,NA,2020
Khanchikot,Arghakhachi,1801,20.5,NA,2020
Taulihawa,Kapilvastu,106,29.3,NA,2020
Tamghas,Gulmi,1547,NA,NA,2020
Semari,Nawalparasi,110,29.8,NA,2020
Lumbini,Rupandehi,95,NA,NA,2020
Anp Chour,,738,30.3,NA,2020
Sandhikharka,Arghakhachi,1030,26.3,NA,2020
Khudi Bazar,Lamjung,838,27.5,NA,2020
Pokhara Airport,Kaski,803.9,26.9,NA,2020
Syangja,Syangja,871,26.3,NA,2020
Bandipur,Tanahu,991,25.1,NA,2020
Gorkha Birenchowk ,Gorkha,724,26.8,NA,2020
Chapakot,Syangja,617,28.9,NA,2020
Malepatan Pokhara ,Kaski,859,26,NA,2020
Lumle,Kaski,1738,19.9,NA,2020
Khairini Tar,Tanahun,515,28.8,NA,2020
Damauli,Tanahun,347,28.8,NA,2020
Dandaswara,Syangja,1316,23.2,NA,2020
Ghalekharka,Kaski,1665,20.9,12,2020
Begnas,Kaski,682,NA,NA,2020
Bhorletar,Lamjung,469,NA,NA,2020
Panchase,Parbat,2492,NA,NA,2020
Humde,Manang,3401,NA,NA,2020
Rampur,Chitwan,189,30.1,NA,2020
Daman,Makwanpur,2265,18.6,NA,2020
Hetauda N F I ,Makwanpur,452,28.5,NA,2020
Simara Airport,Bara,137,29.9,NA,2020
